phone_names,ratings,reviews,price,offer,ram,rom,screen_size,expandable,rear_camera,front_camera,battery,processor
Infinix HOT 30i Glacier Blue,"1,19,407","6,881","₹11,999","₹8,399",8 GB RAM ,128 GB ROM,16.76 cm (6.6 inch) HD+ Display,yes,50MP + AI Lens , 5MP Front Camera,5000 mAh Battery,G37 Processor
REDMI A2 Classic Black,"14,094",858,"₹10,999","₹6,401",4 GB RAM ,64 GB ROM,16.56 cm (6.52 inch) Display,,8MP Rear Camera,,5000 mAh Battery,
MOTOROLA g14 Butter Cream,"23,123","2,126","₹12,999","₹8,499",4 GB RAM ,128 GB ROM,16.51 cm (6.5 inch) ,yes,50MP + 2MP , 8MP Front Camera,5000 mAh Battery,T616 Processor
REDMI Note 12 Pro 5G Glacier Blue,"27,800","2,582","₹31,999","₹23,999",8 GB RAM ,256 GB ROM,16.94 cm (6.67 inch) ,,50MP (OIS) + 8MP + 2MP , 16MP Front Camera,5000 mAh Lithium Polymer Battery,Mediatek Dimensity 1080 Processor
REDMI 12 5G Moonstone Silver,"7,986",534,"₹17,999","₹14,008",6 GB RAM ,128 GB ROM,17.25 cm (6.79 inch) Display,,50MP Rear Camera,,5000 mAh Battery,
POCO M5 Icy Blue,"12,147",831,"₹18,999","₹8,999",6 GB RAM ,128 GB ROM,16.71 cm (6.58 inch) ,yes,50MP + 2MP Depth Sensor + 2MP Macro Sensor , 8MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Mediatek Helio G99 Processor
Infinix HOT 30i Marigold,"1,19,407","6,881","₹11,999","₹8,399",8 GB RAM ,128 GB ROM,16.76 cm (6.6 inch) HD+ Display,yes,50MP + AI Lens , 5MP Front Camera,5000 mAh Battery,G37 Processor
Infinix HOT 30i Diamond White,"1,19,407","6,881","₹11,999","₹8,399",8 GB RAM ,128 GB ROM,16.76 cm (6.6 inch) HD+ Display,yes,50MP + AI Lens , 5MP Front Camera,5000 mAh Battery,G37 Processor
Infinix HOT 30i Glacier Blue,"23,505","1,381","₹9,999","₹7,499",4 GB RAM ,64 GB ROM,16.76 cm (6.6 inch) HD+ Display,yes,50MP + AI Lens , 5MP Front Camera,5000 mAh Battery,G37 Processor
Infinix HOT 30i Diamond White,"23,505","1,381","₹9,999","₹7,499",4 GB RAM ,64 GB ROM,16.76 cm (6.6 inch) HD+ Display,yes,50MP + AI Lens , 5MP Front Camera,5000 mAh Battery,G37 Processor
POCO M6 Pro 5G Power Black,"41,459","2,788","₹15,999","₹10,999",4 GB RAM ,128 GB ROM,17.25 cm (6.79 inch) ,yes,50MP + 2MP , 8MP Front Camera,5000 mAh Battery,Snapdragon 4 Gen 2 Processor
Infinix SMART 7 Emerald Green,"1,17,537","5,992","₹9,999","₹6,999",4 GB RAM ,64 GB ROM,16.76 cm (6.6 inch) HD+ Display,yes,13MP + AI Lens , 5MP Front Camera,6000 mAh Battery,Unisoc Spreadtrum SC9863A1 Processor
Infinix SMART 7 Azure Blue,"1,17,537","5,992","₹9,999","₹6,999",4 GB RAM ,64 GB ROM,16.76 cm (6.6 inch) HD+ Display,yes,13MP + AI Lens , 5MP Front Camera,6000 mAh Battery,Unisoc Spreadtrum SC9863A1 Processor
MOTOROLA g84 5G Marshmallow Blue,"19,989","2,121","₹22,999","₹18,999",12 GB RAM ,256 GB ROM,16.64 cm (6.55 inch) ,,50MP (OIS) + 8MP , 16MP Front Camera,5000 mAh Battery,Snapdragon 695 Processor
Infinix SMART 7 Night Black,"1,17,537","5,992","₹9,999","₹6,999",4 GB RAM ,64 GB ROM,16.76 cm (6.6 inch) HD+ Display,yes,13MP + AI Lens , 5MP Front Camera,6000 mAh Battery,Unisoc Spreadtrum SC9863A1 Processor
vivo T2 5G Nitro Blaze,"13,883",963,"₹24,999","₹19,999",8 GB RAM ,128 GB ROM,16.21 cm (6.38 inch) ,,64 MP (OIS) + 2MP , 16MP Front Camera,4500 mAh Battery,Snapdragon 695 Processor
REDMI Note 12 Pro 5G Stardust Purple,"47,872","4,558","₹27,999","₹21,999",6 GB RAM ,128 GB ROM,16.94 cm (6.67 inch) ,,50MP (OIS) + 8MP + 2MP , 16MP Front Camera,5000 mAh Lithium Polymer Battery,Mediatek Dimensity 1080 Processor
Infinix SMART 7 Azure Blue,"1,17,537","5,992","₹10,999","₹7,299",4 GB RAM ,128 GB ROM,16.76 cm (6.6 inch) HD+ Display,yes,13MP + AI Lens , 5MP Front Camera,6000 mAh Battery,Unisoc Spreadtrum SC9863A1 Processor
MOTOROLA g54 5G Midnight Blue,"23,273","2,314","₹17,999","₹14,999",8 GB RAM ,128 GB ROM,16.51 cm (6.5 inch) ,yes,50MP (OIS) + 8MP , 16MP Front Camera,6000 mAh Battery,Dimensity 7020 Processor
Infinix Note 30 5G Sunset Gold,"3,552",376,"₹17,999","₹14,499",4 GB RAM ,128 GB ROM,17.22 cm (6.78 inch) ,yes,108 MP + 2 MP+ AI Lens , 16MP Front Camera,5000 mAh Li-ion Polymer Battery,Dimensity 6080 Processor
